22779821,name:es,Plaza de Guipúzcoa
22941102,highway,pedestrian
22941108,highway,tertiary
22941109,oneway,yes
22941109,highway,tertiary
22941110,gauge,1668
22941110,usage,main
22941110,railway,rail
22941110,voltage,3000
22941110,frequency,0
22941110,electrified,contact_line
22941111,gauge,1668
22941111,layer,1
22941111,usage,main
22941111,bridge,yes
22941111,railway,rail
22941111,voltage,3000
22941111,frequency,0
22941111,electrified,contact_line
22941112,gauge,1668
22941112,usage,main
22941112,railway,rail
22941112,voltage,3000
22941112,frequency,0
22941112,electrified,contact_line
22941114,highway,steps
22941115,name,Hernani kalea
22941115,oneway,yes
22941115,highway,secondary
22941115,name:es,Calle Hernani
22941115,name:eu,Hernani kalea
22941212,ref,GI-11
22941212,name,"GI-11 N-I eta Donostiako sahiesbidearen lotura, Aritzetatik"
22941212,oneway,yes
22941212,source,B5M
22941212,highway,motorway
22941212,int_ref,E 05;E 80
22941212,name:eu,"GI-11 N-I eta Donostiako sahiesbidearen lotura, Aritzetatik"
23658899,name,Calle Getaria kalea
23658899,bicycle,yes
23658899,highway,pedestrian
23658900,name,Calle Bergara kalea
23658900,oneway,yes
23658900,highway,tertiary
23658900,name:es,Calle de Vergara
23658927,name,Hondarribia kalea
23658927,oneway,yes
23658927,highway,residential
23658927,name:es,Calle Fuenterrabía
23658927,maxspeed,30
23658929,name,Loiola kalea
23658929,bicycle,yes
23658929,highway,pedestrian
23843083,name,Aldamar kalea
23843083,oneway,yes
23843083,highway,residential
23843083,name:es,Calle Aldamar
23843083,name:eu,Aldamar kalea
23843187,name,Calle Soraluze kalea
23843187,oneway,yes
23843187,highway,residential
23843187,name:es,Calle Placencia de las Armas
23843187,name:eu,Soraluze kalea
23843193,name,Jauregi Jenerala kalea
23843193,oneway,yes
23843193,highway,residential
23843193,name:es,Calle General Jauregui
23843193,name:eu,Jauregi Jenerala kalea
23843227,name,Euskal Herria kalea
23843227,oneway,yes
23843227,highway,residential
23843227,name:es,Calle Euskal Herria
23843227,name:eu,Euskal Herria kalea
23843234,name,Etxague Jenerala kalea
23843234,oneway,yes
23843234,highway,residential
23843234,name:es,Calle General Echagüe
23843306,name,Calle San Juan kalea
23843306,highway,pedestrian
23843342,name,Narrika kalea
23843342,highway,pedestrian
23843342,name:es,Calle Narrica
23843342,name:eu,Narrika kalea
23843414,name,Abuztuaren 31 kalea
23843414,highway,pedestrian
23843414,name:es,Calle 31 de Agosto
23843419,name,Kale Nagusia
23843419,highway,pedestrian
23843419,name:es,Calle Mayor
23843419,name:eu,Kale Nagusia
23843427,name,San Jeronimo kalea
23843427,highway,pedestrian
23843427,name:es,Calle San Jerónimo
23843427,name:eu,San Jeronimo kalea
23843438,foot,designated
23843438,name,Portu kalea
23843438,highway,pedestrian
23843438,name:es,Calle Puerto
23843438,name:eu,Portu kalea
23843449,name,Aingeru kalea
23843449,highway,pedestrian
23843449,name:es,Calle Ángel
23843488,name,Konstituzio
23843488,highway,pedestrian
23843488,name:eu,Konstituzio
23843495,name,Iñigo kalea
23843495,highway,pedestrian
23843495,name:es,Calle Iñigo
23843495,name:eu,Iñigo kalea
23843555,area,yes
23843555,name,Zuloaga plaza
23843555,highway,pedestrian
23843555,leisure,common
23843555,name:es,Plaza de Zuloaga
23843608,area,yes
23843608,name,Lasala plaza
23843608,highway,pedestrian
23843608,leisure,common
23843608,name:es,Plaza de Lasala
23843608,name:eu,Lasala plaza
23843619,name,Kanpandegi kalea
23843619,highway,pedestrian
23843619,name:es,Calle Campanario
23843629,name,Mari kalea
23843629,oneway,yes
23843629,highway,pedestrian
23843629,name:es,Calle Mari
23843649,name,Fermin Calbeton kalea
23843649,highway,pedestrian
23843649,name:es,Calle Fermín Calbetón
23843649,name:eu,Fermin Calbeton kalea
23843658,name,Kanpandegi kalea
23843658,highway,pedestrian
23843658,name:es,Calle Campanario
23843688,name,Koruko Andre Mariaren kalea
23843688,highway,pedestrian
23843699,name,Santa Korda kalea
23843699,highway,pedestrian
23843699,name:eu,Santa Korda kalea
23843717,area,yes
23843717,name,Trinitate Plaza
23843717,highway,pedestrian
23843717,leisure,common
23843717,name:es,Plaza de la Trinidad
23843723,name,Gaztelubide
23843723,highway,pedestrian
23843734,layer,1
23843734,highway,footway
23843787,highway,pedestrian
23843832,name,Ijentea kalea
23843832,bicycle,yes
23843832,highway,pedestrian
23843832,name:es,Calle Ijentea
23843832,name:eu,Ijentea kalea
23843862,name,Bilintx kalea
23843862,highway,pedestrian
23843862,name:es,Calle Bilintx
23843862,name:eu,Bilintx kalea
23843948,name,Enbeltran kalea
23843948,highway,pedestrian
23843948,name:es,Calle Enbeltran
23843948,name:eu,Enbeltran kalea
23843966,area,yes
23843966,name,Sarriegi plaza
23843966,highway,pedestrian
23843966,leisure,common
23843991,highway,pedestrian
23843992,highway,pedestrian
23844025,name,Calle Esterlines kalea
23844025,highway,pedestrian
23844025,name:eu,Esterlines kalea
23844028,name,Calle San Lorenzo kalea
23844028,highway,pedestrian
23844062,name,Ikatz kalea
23844062,highway,pedestrian
23844062,name:es,Calle Juan de Bilbao
23844062,name:eu,Ikatz kalea
23844062,alt_name,Joan de Bilbao kalea
23846347,area,yes
23846347,name,Konstituzio plaza
23846347,highway,pedestrian
23846347,name:es,Plaza de la Constitución
23847565,name,Eduardo Chillida Pasealekua
23847565,oneway,yes
23847565,highway,residential
23847565,name:es,Paseo Eduardo Chillida
23847703,name,Calle Pamplona/Iruña kalea
23847703,oneway,yes
23847703,highway,tertiary
23847716,name,Calle Brunet kalea
23847716,oneway,yes
23847716,highway,residential
23847727,name,Jaime Infantearen kalea
23847727,oneway,yes
23847727,highway,residential
23847727,name:es,Calle del Infante Jaime
23847755,name,Beatriz Infantaren Kalea
23847755,oneway,yes
23847755,highway,residential
23847755,name:es,Calle de la Infanta Beatriz
23847767,name,Kristina Infantaren kalea
23847767,oneway,yes
23847767,highway,residential
23847767,name:es,Calle de la Infanta Cristina
23847792,name,Juan Infantearen kalea
23847792,oneway,yes
23847792,highway,residential
23847792,name:es,Calle del Infante Juan
23847800,name,Calle Wiesbaden Kalea
23847800,oneway,yes
23847800,highway,residential
23847811,name,Igeldo pasealekua
23847811,oneway,yes
23847811,highway,tertiary
23847811,name:es,Paseo de Igueldo
23847929,name,Itsasargiko pasealekua
23847929,highway,residential
23847929,name:es,Paseo del Faro
23847929,name:eu,Itsasargiko pasealekua
23847941,name,Funikularraren Plaza
23847941,oneway,yes
23847941,highway,residential
23847941,name:es,Plaza del Funicular
23847996,name,Calle Mauleón/Maule kalea
23847996,oneway,no
23847996,highway,residential
23848028,name,Calle Olarain Kalea
23848028,oneway,no
23848028,highway,residential
23848040,name,Paseo de Ondarreta Pasealekua
23848040,oneway,yes
23848040,highway,residential
23848050,name,Paseo de Ondarreta Pasealekua
23848050,oneway,yes
23848050,highway,residential
23848065,name,Calle Vitoria/Gasteiz Kalea
23848065,oneway,yes
23848065,highway,residential
23848104,name,Donibane-Garazi Kalea
23848104,oneway,yes
23848104,highway,residential
23848104,name:es,Calle de San Juan de Pie de Puerto
23848114,name,Calle Logroño Kalea
23848114,oneway,yes
23848114,highway,residential
23848127,name,Zubimusu parkea
23848127,leisure,park
23848144,name,Anoeta Futbol Zelaia
23848144,sport,soccer
23848144,leisure,stadium
23848144,name:de,Anoeta Stadion
23848144,name:en,Anoeta Stadium
23848144,name:es,Estadio Municipal de Anoeta
23848144,name:eu,Anoeta Futbol Zelaia
23848144,addr:city,Donostia/San Sebastián
23848144,wikipedia,es:Estadio Municipal de Anoeta
23848144,start_date,1993
23848144,addr:street,Anoeta pasealekua
23848144,addr:country,ES
23848144,addr:postcode,20014
23848144,addr:housenumber,1
23888209,name,Aita Donostia plaza
23888209,highway,secondary
23888209,junction,roundabout
23888210,name,Madrid hiribidea
23888210,oneway,yes
23888210,highway,secondary
23888210,name:es,Avenida de Madrid
23888211,name,Madrid hiribidea
23888211,oneway,yes
23888211,highway,secondary
23888211,name:es,Avenida de Madrid
23888401,name,Baleazaleen kalea
23888401,oneway,yes
23888401,highway,residential
23888401,name:es,Calle Balleneros
23888402,name,Felipe IVaren hiribidea
23888402,oneway,yes
23888402,highway,residential
23888402,name:es,Avenida Felipe IV
23888403,name,Felipe IVaren hiribidea
23888403,oneway,yes
23888403,highway,residential
23888403,name:es,Calle Felipe IV
23888545,name,Isabel II.aren hiribidea
23888545,oneway,yes
23888545,bicycle,yes
23888545,highway,residential
23888545,name:es,Avenida Isabel II
23888545,maxspeed,30
23888546,oneway,yes
23888546,bicycle,yes
23888546,highway,residential
23888546,maxspeed,30
23888547,name,Isabel IIaren hiribidea
23888547,oneway,yes
23888547,bicycle,yes
23888547,highway,residential
23888547,name:es,Avenida Isabel II
23888547,maxspeed,30
23888654,name,Baleazaleen kalea
23888654,oneway,yes
23888654,highway,residential
23888654,name:es,Calle Balleneros
23888655,name,Baleazaleen kalea
23888655,oneway,yes
23888655,highway,residential
23888655,name:es,Calle Balleneros
23888699,name,Eustasio Amilibia kalea
23888699,oneway,yes
23888699,highway,residential
23888699,name:es,Calle Eustasio Amilibia
23889077,leisure,park
23889245,name,Miniestadio de Anoeta
23889245,sport,multi
23889245,leisure,sports_centre
23889245,alt_name,Anexo de Anoeta
23892553,name,Salamanka pasealekua
23892553,oneway,yes
23892553,highway,tertiary
23892553,name:es,Paseo de Salamanca
23892553,name:eu,Salamanka pasealekua
23892554,name,San Martin kalea
23892554,lanes,3
23892554,oneway,yes
23892554,highway,secondary
23892554,name:es,Calle San Martín
23893526,name,Urbieta kalea
23893526,lanes,3
23893526,oneway,yes
23893526,highway,secondary
23893526,name:es,Calle Urbieta
23893528,name,Antso Jakitunaren hiribidea
23893528,oneway,yes
23893528,highway,secondary
23893529,name,Argentinar Errepublikaren pasealekua
23893529,oneway,yes
23893529,highway,secondary
23893529,name:es,Paseo de la República Argentina
23893529,name:eu,Argentinar Errepublikaren pasealekua
23893893,name,Parque de Atracciones Igeldo
23893893,tourism,theme_park
23899898,name,Gipuzkoa plaza
23899898,leisure,park
23899898,name:es,Plaza de Guipúzcoa
23899898,alt_name:es,Plaza Guipúzcoa
23902254,name,Calle Matia kalea
23902254,oneway,yes
23902254,bicycle,yes
23902254,highway,residential
23902254,maxspeed,30
23902368,name,Calle Sukia kalea
23902368,oneway,yes
23902368,bicycle,yes
23902368,highway,residential
23902368,maxspeed,30
23902393,name,Calle Ondarbide kalea
23902393,oneway,yes
23902393,bicycle,yes
23902393,highway,residential
23902393,maxspeed,30
23902455,name,Serrano Anguita kalea
23902455,highway,residential
23902484,name,Calle Juan de Garay kalea
23902484,oneway,yes
23902484,bicycle,yes
23902484,highway,residential
23902484,maxspeed,30
23902511,name,Calle Bentaberri kalea
23902511,oneway,yes
23902511,bicycle,yes
23902511,highway,residential
23902511,maxspeed,30
23902583,name,Guridi musikariaren kalea
